"brand","shop","@lat","@lon"
"Renault","car","55.6176544","37.7153303"
"Volkswagen","car","55.6175353","37.7153862"
"Ford;Land Rover","car","55.6174306","37.7154475"
"BMW","car","55.6173359","37.7154943"
"Citroën","car","55.6174206","37.7157668"
"Пятёрочка","supermarket","55.8539373","37.5015890"
"Пятёрочка","supermarket","55.6135895","37.5809026"
"Пятёрочка","convenience","55.7157525","37.7716325"
"Пятёрочка","supermarket","55.7649248","37.7883993"
"Перекрёсток","supermarket","55.8882478","37.6576523"
"Дикси","supermarket","55.7237322","37.8286777"
"Пятёрочка","supermarket","55.7125296","37.8164929"
"Магнолия","supermarket","55.6721926","37.5507669"
"Детский мир","toys","55.7827906","37.7215345"
"AvtoALL","car_parts","55.7215196","37.8231672"
"Подружка","cosmetics","55.7576283","37.7125653"
"Пятёрочка","supermarket","55.7191433","37.8236237"
"Пятёрочка","supermarket","55.8877336","37.6767609"
"Billa","supermarket","55.8875384","37.6784894"
"Пятёрочка","supermarket","55.8028460","37.7641737"
"Пятёрочка","supermarket","55.8121669","37.8269633"
"OLDI","computer","55.7193778","37.6042236"
"М.Видео","electronics","55.7810430","37.7181631"
"Пятёрочка","supermarket","55.8725996","37.6935494"
"ВкусВилл","convenience","55.8738490","37.6293504"
"Дикси","supermarket","55.8731779","37.6299403"
"МясновЪ","convenience","55.8767941","37.6371982"
"Пятёрочка","supermarket","55.8736386","37.6367825"
"Пятёрочка","supermarket","55.8678576","37.6226147"
"Дикси","supermarket","55.8755652","37.6374734"
"Дикси","supermarket","55.8723120","37.6385273"
"Связной","mobile_phone","55.8697704","37.6658914"
"Связной","mobile_phone","55.8702796","37.6636847"
"Пятёрочка","supermarket","55.5982370","37.5128416"
"Пятёрочка","supermarket","55.8236888","37.8176046"
"Магнолия","convenience","55.8720289","37.6645300"
"Эльдорадо","electronics","55.6122954","37.7338650"
"Азбука Вкуса","supermarket","55.6923724","37.5518097"
"Магнолия","supermarket","55.6931594","37.5581410"
"Пятёрочка","supermarket","55.6901569","37.8706804"
"Пятёрочка","supermarket","55.6894121","37.8762203"
"Магнолия","convenience","55.7388470","37.5844270"
"Красное&Белое","alcohol","55.8065679","37.5033012"
